ein,legal_name,entity_type,tax_year,form_type,rich_filing_available,total_revenue,total_expenses,total_assets,total_liabilities,net_assets,source
746082351,DELTA TAU DELTA BUILDING ASSN,PROPERTY_HOLDING_ENTITY,2018,990,true,121284,147184,1100136,189973,910163,PROPUBLICA_API
621793998,KAPPA DELTA SORORITY,LOCAL_CHAPTER_ENTITY,2018,990,true,375230,443671,118429,0,118429,PROPUBLICA_API
620416868,ZETA BETA TAU FRATERNITY,LOCAL_CHAPTER_ENTITY,2018,990EZ,true,127512,132641,1,11181,-11180,PROPUBLICA_API
626074044,CHI OMEGA FRATERNITY,LOCAL_CHAPTER_ENTITY,2018,990EZ,true,134903,132795,252253,0,252253,PROPUBLICA_API
742244833,DELTA TAU DELTA FRATERNITY,LOCAL_CHAPTER_ENTITY,2018,990,true,394382,424030,35499,0,35499,PROPUBLICA_API
362426170,GAMMA PHI BETA SORORITY INC,NATIONAL_PARENT,2018,990,true,11785820,11009753,22743526,8274294,14469232,PROPUBLICA_API
620671306,KAPPA ALPHA ORDER,UNKNOWN,2018,990EZ,true,112231,121135,2883,0,2883,PROPUBLICA_API
263623864,KAPPA SIGMA FRATERNITY,LOCAL_CHAPTER_ENTITY,2018,990,true,132037,135400,4856,0,4856,PROPUBLICA_API
473151737,PI KAPPA ALPHA FRATERNITY,LOCAL_CHAPTER_ENTITY,2018,990EZ,true,67072,74768,4385,0,4385,PROPUBLICA_API
530261012,ZETA PHI BETA SORORITY INC,NATIONAL_PARENT,2018,990,true,6466214,3757932,19434875,3297402,16137473,PROPUBLICA_API
010158948,SIGMA KAPPA SORORITY,NATIONAL_PARENT,2018,990,true,4862977,4384964,10360714,5233813,5126901,PROPUBLICA_API
621771326,PHI BETA SIGMA FRATERNITY-ETA BETA SIGMA CHAPTER INCORPORATED,LOCAL_CHAPTER_ENTITY,2018,990,true,55177,50725,37826,0,37826,PROPUBLICA_API
626047662,KAPPA DELTA SORORITY,LOCAL_CHAPTER_ENTITY,2018,990,true,233645,206590,138276,0,138276,PROPUBLICA_API
381543609,SIGMA ALPHA IOTA FRATERNITY,NATIONAL_PARENT,2018,990,true,802075,745796,1554603,327500,1227103,PROPUBLICA_API
430765719,THETA TAU,NATIONAL_PARENT,2018,990,true,1266104,895751,2480288,62,2480226,PROPUBLICA_API
621466616,BETA TAU HOUSE CORPORATION OF KAPPA DELTA SORORITY,HOUSE_CORPORATION,2018,990EZ,true,124532,102207,428362,4552,423810,PROPUBLICA_API
310406470,PHI DELTA THETA FRATERNITY,NATIONAL_PARENT,2018,990,true,5326600,5680709,6143006,861096,5281910,PROPUBLICA_API
356020472,SIGMA GAMMA RHO SORORITY INC,NATIONAL_PARENT,2018,990,true,3269831,2498757,5963726,1539658,4424068,PROPUBLICA_API
310851686,CHI OMEGA FRATERNITY,NATIONAL_PARENT,2018,990,true,7367668,5989813,18373804,1589692,16784112,PROPUBLICA_API
350141875,ALPHA CHI OMEGA FRATERNITY INC,NATIONAL_PARENT,2018,990,true,10520957,9728379,22908899,17335198,5573701,PROPUBLICA_API
361996950,ZETA TAU ALPHA INTL FRATERNITY & FRATERNITY HOUSING CORPORATION,NATIONAL_PARENT,2018,990,true,25584284,18911340,90095407,29953662,60141745,PROPUBLICA_API
221281800,SIGMA PI FRATERNITY INTERNATIONAL,NATIONAL_PARENT,2018,990,true,2321881,2185753,3269312,717708,2551604,PROPUBLICA_API
221550561,ALPHA GAMMA DELTA FRATERNITY,NATIONAL_PARENT,2018,990,true,6066664,6328011,13701990,8229631,5472359,PROPUBLICA_API
131306360,SIGMA ALPHA MU FRATERNITY INC,NATIONAL_PARENT,2018,990,true,1920446,2020951,7734668,2777909,4956759,PROPUBLICA_API
210577978,THETA CHI FRATERNITY INC,NATIONAL_PARENT,2018,990,true,4640092,4483058,7442663,2513826,4928837,PROPUBLICA_API
314164901,DELTA GAMMA FRATERNITY,NATIONAL_PARENT,2018,990,true,6877869,6374268,14495900,1330166,13165734,PROPUBLICA_API
620533776,PHI MU FRATERNITY,NATIONAL_PARENT,2018,990,true,6155305,5593019,19824841,5929068,13895773,PROPUBLICA_API
350267650,DELTA TAU DELTA FRATERNITY,NATIONAL_PARENT,2018,990,true,4583537,4411289,13828066,1887890,11940176,PROPUBLICA_API
530125862,PHI GAMMA DELTA FRATERNITY,NATIONAL_PARENT,2018,990,true,5531037,5121866,14747247,358205,14389042,PROPUBLICA_API
362077508,ALPHA PHI INTERNATIONAL FRATERNITY INC,NATIONAL_PARENT,2018,990,true,8281869,6707216,20293987,2050300,18243687,PROPUBLICA_API
430689936,SIGMA TAU GAMMA FRATERNITY,NATIONAL_PARENT,2018,990,true,2851758,3275110,4859562,4126078,733484,PROPUBLICA_API
361773950,SIGMA ALPHA EPSILON FRATERNITY,NATIONAL_PARENT,2018,990,true,8233858,7822326,11563057,4203064,7359993,PROPUBLICA_API
131496630,ZETA PSI FRATERNITY OF NORTH AMERICA,NATIONAL_PARENT,2018,990,true,811845,870945,634261,235532,398729,PROPUBLICA_API
430769468,ALPHA EPSILON PI FRATERNITY INC,NATIONAL_PARENT,2018,990EZ,true,40676,-36790,40688,-36790,77478,PROPUBLICA_API
570340150,PI KAPPA PHI FRATERNITY,NATIONAL_PARENT,2018,990,true,5392660,5263691,8783796,4485125,4298671,PROPUBLICA_API
580191430,CHI PHI FRATERNITY INC,NATIONAL_PARENT,2018,990,true,1722898,1717433,1284062,86906,1197156,PROPUBLICA_API
440500006,KAPPA DELTA SORORITY INC,NATIONAL_PARENT,2018,990,true,10109437,6356364,56321729,6593081,49728648,PROPUBLICA_API
580310956,KAPPA ALPHA ORDER,NATIONAL_PARENT,2018,990,true,4400953,4422418,7002573,1953377,5049196,PROPUBLICA_API
362152330,ALPHA KAPPA ALPHA SORORITY INC,NATIONAL_PARENT,2018,990,true,38419461,37871471,33973854,9723737,24250117,PROPUBLICA_API
